time	V(n002)	V(n002)/V(n012)	V(n012)
Step Information: Temp=10  (Run: 1/8)
7.670731037822350e-006	-7.998772e+000	1.891000e+001	-4.229917e-001
7.691591301801571e-006	-7.998768e+000	1.893341e+001	-4.224685e-001
7.710383701549040e-006	-7.998765e+000	1.895454e+001	-4.219973e-001
7.735371578677312e-006	-7.998762e+000	1.898272e+001	-4.213707e-001
7.757020186037118e-006	-7.998758e+000	1.900720e+001	-4.208278e-001
7.773496985363194e-006	-7.998755e+000	1.902587e+001	-4.204146e-001
7.788017102334444e-006	-7.998753e+000	1.904236e+001	-4.200505e-001
7.804805235674033e-006	-7.998750e+000	1.906146e+001	-4.196295e-001
7.814626000476598e-006	-7.998749e+000	1.907265e+001	-4.193833e-001
7.822308095073736e-006	-7.998747e+000	1.908141e+001	-4.191906e-001
7.829866352605647e-006	-7.998746e+000	1.909004e+001	-4.190011e-001
7.837353739603988e-006	-7.998745e+000	1.909859e+001	-4.188133e-001
7.845622507675740e-006	-7.998744e+000	1.910805e+001	-4.186060e-001
7.853107119538965e-006	-7.998743e+000	1.911662e+001	-4.184183e-001
7.861360472558383e-006	-7.998741e+000	1.912607e+001	-4.182113e-001
7.869701816534211e-006	-7.998740e+000	1.913564e+001	-4.180022e-001
7.879050464172358e-006	-7.998738e+000	1.914638e+001	-4.177677e-001
7.888754411691579e-006	-7.998737e+000	1.915753e+001	-4.175244e-001
7.899374427259224e-006	-7.998735e+000	1.916975e+001	-4.172581e-001
7.909681052083053e-006	-7.998734e+000	1.918163e+001	-4.169996e-001
7.924908186093570e-006	-7.998731e+000	1.919921e+001	-4.166178e-001
7.945413018796594e-006	-7.998728e+000	1.922292e+001	-4.161036e-001
7.971532075458329e-006	-7.998724e+000	1.925322e+001	-4.154487e-001
8.006654588740840e-006	-7.998718e+000	1.929411e+001	-4.145680e-001
8.048831911039173e-006	-7.998711e+000	1.934344e+001	-4.135104e-001
8.094279775388552e-006	-7.998704e+000	1.939688e+001	-4.123707e-001
8.142789695181193e-006	-7.998696e+000	1.945424e+001	-4.111543e-001
8.194755173010818e-006	-7.998688e+000	1.951607e+001	-4.098513e-001
8.267410830364439e-006	-7.998676e+000	1.960318e+001	-4.080294e-001
8.397300772523864e-006	-7.998656e+000	1.976087e+001	-4.047725e-001
8.533106000766307e-006	-7.998634e+000	1.992846e+001	-4.013673e-001
8.740728892124435e-006	-7.998600e+000	2.019025e+001	-3.961615e-001
